"Date","Pitcher","PitcherThrows","PitcherTeam","TaggedPitchType","RelSpeed","InducedVertBreak","HorzBreak","SpinAxis","RelHeight","RelSide","Extension","SpinRate","yt_Efficiency","HomeTeamCode"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",84.01679745,20.1694026,4.782974302,197.4811936,6.554167886,1.120755405,6.000000192,2089.778074,86.37568394,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Curveball",75.2382484,-11.44821846,-8.767613645,28.54858526,5.772262545,1.605132052,6.000000192,2191.249649,68.36746405,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",86.39193158,19.38477005,4.123789931,195.7974554,6.513814676,1.642303107,6.000000192,2201.244074,81.56219441,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",82.95660216,11.47365055,-3.134973853,167.3591143,6.380302602,2.601143058,6.000000192,2137.108873,39.43811235,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",87.73879178,19.36919164,4.057159748,196.9651321,6.475632426,1.266575286,6.000000192,2235.929553,80.75483453,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",83.47134581,10.81656545,-2.175148533,176.6660607,6.131273468,1.699946714,6.000000192,2093.799561,37.03292313,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.89527361,19.74352445,2.913863474,193.2339514,6.545661971,1.178622352,6.000000192,2068.154833,82.24345277,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.09969128,12.81652484,-0.444071192,184.7241883,5.996913983,1.920389156,6.000000192,2166.274096,46.86291267,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",78.72537577,8.238351237,-4.256021454,152.3641563,5.04347129,0.901261779,6.897231717,2198.807322,28.87581505,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.29361942,18.59266791,2.774826943,190.7999163,6.461728029,1.600683938,6.000000192,1932.799004,80.34193615,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.19720788,12.74940293,-1.90115215,180.8388942,6.405888239,1.751852002,6.000000192,2034.355945,47.25704581,"WWT"
